year,quarter,year-quarter,gdp,cpi,unemployment_rate,gdp_growth,cpi_growth,unemployment_change,gdp_yoy,cpi_yoy,unemployment_yoy_change,gdp_rolling_mean_4q,cpi_rolling_mean_4q,unemployment_rolling_mean_4q,gdp_volatility_4q,cpi_volatility_4q,unemployment_volatility_4q,gdp_growth_lag1,gdp_growth_lag2,cpi_growth_lag1,unemployment_change_lag1,covid_flag,recession_flag,high_growth_flag
1985,4,1985Q4,4444.094,109.0,7.033333333333334,0.013066780524089161,0.010194624652456019,-0.16666666666666607,0.07124005466004868,0.03513770180436859,-0.2666666666666657,0.01735851638668262,0.008672082393567704,7.191666666666666,0.0038430038201524,0.001711142744482435,0.09813067629253046,0.02139427649668102,0.015299392364558573,0.006216972334472937,-0.09999999999999964,False,False,False
1986,1,1986Q1,4507.894,109.56666666666666,7.033333333333334,0.014356131981006826,0.005198776758409851,0.0,0.06565365725427474,0.03105395232120456,-0.1999999999999993,0.016029145341583895,0.00767674651036232,7.141666666666667,0.0036919620228938357,0.002354216353988197,0.10363754503431902,0.013066780524089161,0.02139427649668102,0.010194624652456019,-0.16666666666666607,False,False,False
1986,2,1986Q2,4545.34,109.03333333333335,7.166666666666667,0.008306761427841813,-0.004867660480681324,0.13333333333333286,0.05831422340098835,0.016785825303077484,-0.13333333333333286,0.014280987607404705,0.004185678316164371,7.108333333333334,0.005408949460074914,0.006408923551980752,0.13052600138300705,0.014356131981006826,0.013066780524089161,0.005198776758409851,0.0,False,False,False
1986,3,1986Q3,4607.669,109.7,6.966666666666666,0.013712725560684147,0.0061143381228980775,-0.20000000000000107,0.050355010391465393,0.016682113067655324,-0.23333333333333428,0.012360599873405487,0.004160019763270656,7.05,0.0027533427877640343,0.006398276932147391,0.15485955405295895,0.008306761427841813,0.014356131981006826,-0.004867660480681324,0.13333333333333286,False,False,False
1986,4,1986Q4,4657.627,110.46666666666665,6.833333333333333,0.010842358685053233,0.006988757216651376,-0.13333333333333286,0.04804871364107077,0.013455657492354556,-0.20000000000000107,0.011804494413646505,0.003358552904319495,7.0,0.002787594039424854,0.005532622826138885,0.14782371884055587,0.013712725560684147,0.008306761427841813,0.0061143381228980775,-0.20000000000000107,False,False,False
1987,1,1987Q1,4722.156,111.8,6.599999999999999,0.0138544799744591,0.012070006035003189,-0.23333333333333428,0.04753039889580357,0.020383328262853606,-0.43333333333333535,0.011679081412009573,0.0050763602234678296,6.891666666666666,0.002642014031401563,0.007130434532831696,0.166388657020799,0.010842358685053233,0.013712725560684147,0.006988757216651376,-0.13333333333333286,False,False,False
1987,2,1987Q2,4806.16,113.06666666666666,6.266666666666667,0.017789331822159138,0.011329755515802065,-0.33333333333333215,0.05738184602251972,0.036991745643534024,-0.9000000000000004,0.014049724010588904,0.009125714222588677,6.666666666666666,0.0028532757259384076,0.003008965689283349,0.08333333333333195,0.0138544799744591,0.010842358685053233,0.012070006035003189,-0.23333333333333428,False,False,False
1987,3,1987Q3,4884.555,114.26666666666667,6.0,0.016311358756262884,0.010613207547169878,-0.2666666666666666,0.06009242417369842,0.04162868429048916,-0.9666666666666659,0.014699382309483588,0.010250431578656627,6.425,0.0030406549322472562,0.0022543230625161966,0.08333333333333211,0.017789331822159138,0.0138544799744591,0.011329755515802065,-0.33333333333333215,False,False,False
1987,4,1987Q4,5007.994,115.33333333333333,5.833333333333333,0.025271288786798296,0.00933488914819125,-0.16666666666666696,0.0752243578113918,0.044055522027761196,-1.0,0.018306614834919854,0.010836964561541595,6.175,0.004918564038633373,0.0011646933714858946,0.06938886664886926,0.016311358756262884,0.017789331822159138,0.010613207547169878,-0.2666666666666666,False,False,True
1988,1,1988Q1,5073.372,116.23333333333333,5.7,0.013054728100712731,0.007803468208092523,-0.13333333333333286,0.07437619595794809,0.039654144305307115,-0.8999999999999986,0.018106676866483262,0.009770330104813929,5.95,0.005169710671940708,0.0015492368597417167,0.09179284245476711,0.025271288786798296,0.016311358756262884,0.00933488914819125,-0.16666666666666696,False,False,False
1988,2,1988Q2,5190.036,117.56666666666666,5.466666666666666,0.022995356934204736,0.011471178663607695,-0.23333333333333428,0.07987166469697216,0.03979952830188682,-0.8000000000000007,0.019408183144494662,0.009805685891765337,5.75,0.00569211547831152,0.0015975483950498057,0.0608580619450174,0.013054728100712731,0.025271288786798296,0.007803468208092523,-0.13333333333333286,False,False,True
1988,3,1988Q3,5282.835,119.0,5.466666666666666,0.017880222796142542,0.01219166430394103,0.0,0.08153864579270786,0.04142357059509916,-0.5333333333333341,0.019800399154464576,0.010200300080958125,5.616666666666666,0.005456786105269385,0.0020061906647301044,0.09813067629253117,0.022995356934204736,0.013054728100712731,0.011471178663607695,-0.23333333333333428,False,False,False
1988,4,1988Q4,5399.509,120.3,5.333333333333333,0.022085490082503156,0.01092436974789912,-0.13333333333333286,0.07817800899921212,0.04306358381502884,-0.5,0.01900394947839079,0.010597670230885092,5.491666666666666,0.004549110632132342,0.001933746933250776,0.09574271077563329,0.017880222796142542,0.022995356934204736,0.01219166430394103,0.0,False,False,True
1989,1,1989Q1,5511.253,121.66666666666667,5.2,0.020695215064925332,0.011360487669714647,-0.13333333333333286,0.08630965756108555,0.04674505305420129,-0.5,0.02091407121944394,0.011486925096290623,5.366666666666666,0.002232793963560548,0.0005257883743437415,0.09574271077563329,0.022085490082503156,0.017880222796142542,0.01092436974789912,-0.13333333333333286,False,False,True
1989,2,1989Q2,5612.463,123.63333333333333,5.233333333333333,0.018364244936677654,0.016164383561643625,0.033333333333333215,0.08139192098089487,0.05160192798412244,-0.2333333333333325,0.01975629322006217,0.012660226320799606,5.308333333333334,0.001980250061107253,0.0023945206155587947,0.08766518798921821,0.020695215064925332,0.022085490082503156,0.011360487669714647,-0.13333333333333286,False,False,False
